Puntaje,Tiempo,Muertes
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,16,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,17,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,18,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,19,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
Nivel 1,20,0
